Wall time,Step,Value
1764738022.8340771,0,39.05097961425781
1764738041.4855752,1,35.87688446044922
1764738060.1151662,2,40.3013801574707
1764738078.8312511,3,43.69990539550781
1764738097.3773417,4,46.61750411987305
1764738115.9799037,5,46.6816291809082
1764738134.5634634,6,49.69541549682617
1764738153.1426215,7,50.20840072631836
1764738171.7962143,8,49.567169189453125
1764738190.3801725,9,51.5870475769043
1764738208.9666672,10,53.3183708190918
1764738227.511516,11,54.0557861328125
1764738246.0237055,12,53.0618782043457
1764738264.5312922,13,53.38249588012695
1764738283.0557184,14,56.01154327392578
1764738301.644077,15,55.851234436035156
1764738320.1871214,16,56.364219665527344
1764738338.733407,17,57.42224884033203
1764738357.3380942,18,58.416160583496094
1764738375.9734688,19,59.730682373046875
1764738394.587897,20,59.57037353515625
1764738413.08775,21,60.37191390991211
1764738431.6493287,22,59.634498596191406
1764738450.1782465,23,60.147483825683594
1764738468.6926773,24,60.66046905517578
1764738487.2462523,25,61.782623291015625
1764738505.9182112,26,61.878807067871094
1764738524.5456338,27,63.8025016784668
1764738543.1678326,28,64.1551742553711
1764738561.7391357,29,62.712406158447266
1764738580.261841,30,65.69412994384766
1764738598.760136,31,65.4697036743164
1764738617.329822,32,65.69412994384766
1764738636.0126681,33,66.39949035644531
1764738654.686723,34,65.43763732910156
1764738673.3837223,35,67.7460708618164
1764738692.110521,36,67.90637969970703
1764738710.7272725,37,67.45751953125
1764738729.3164923,38,69.4453353881836
1764738747.8492298,39,68.48348999023438
1764738766.4458735,40,70.15068817138672
1764738785.0050774,41,69.28502655029297
1764738803.5566535,42,70.75985717773438
1764738822.2021842,43,70.59954833984375
1764738840.8382971,44,71.62551879882812
1764738859.364697,45,72.52324676513672
1764738877.8764522,46,71.94613647460938
1764738896.412813,47,72.94004821777344
1764738914.929767,48,73.13241577148438
1764738933.4908133,49,73.10034942626953
1764738952.0008166,50,73.51715087890625
1764738970.552953,51,73.8377685546875
1764738989.1537426,52,74.0942611694336
1764739007.6981018,53,73.96601104736328
1764739026.2160454,54,75.63321685791016
1764739044.7854302,55,76.24238586425781
1764739063.354347,56,75.569091796875
1764739081.8845673,57,74.79961395263672
1764739100.4424367,58,76.1141357421875
1764739118.953521,59,76.24238586425781
1764739137.4720087,60,77.42866516113281
1764739155.9850502,61,78.45463562011719
1764739174.5630188,62,77.49278259277344
1764739193.1276288,63,77.17217254638672
1764739211.6349618,64,78.80731201171875
1764739230.1225007,65,78.45463562011719
1764739248.7601852,66,77.58897399902344
1764739267.3132222,67,78.4866943359375
1764739285.8339882,68,79.2882308959961
1764739304.4753337,69,78.71112823486328
1764739323.3055484,70,79.4164810180664
1764739342.127005,71,79.03173828125
1764739360.9695926,72,79.12792205810547
1764739379.7453868,73,79.86534118652344
1764739398.3947334,74,79.70503234863281
1764739417.0933948,75,79.9294662475586
1764739435.9727068,76,80.4745101928711
1764739454.7736826,77,80.66687774658203
1764739473.565438,78,80.69894409179688
1764739492.318677,79,81.08367919921875
1764739511.0182872,80,81.56460571289062
1764739529.7737448,81,81.53253936767578
1764739548.556442,82,81.05162048339844
1764739567.3618534,83,81.404296875
1764739586.0524826,84,82.07759094238281
1764739604.807942,85,82.81500244140625
1764739623.6302705,86,83.48829650878906
1764739642.372719,87,82.97531127929688
1764739661.1534922,88,82.71881866455078
1764739679.88917,89,82.81500244140625
1764739698.6643713,90,82.81500244140625
1764739717.5135179,91,83.26387023925781
1764739736.2724588,92,82.17377471923828
1764739755.027387,93,83.07149505615234
1764739773.7502592,94,82.8791275024414
1764739792.4083912,95,84.16159057617188
1764739811.2721071,96,83.19974517822266
1764739830.0071397,97,82.8791275024414
1764739848.864995,98,83.90509796142578
1764739867.541347,99,83.64860534667969
