Wall time,Step,Value
1764738022.8340771,0,1.520656704902649
1764738041.4855752,1,1.4728749990463257
1764738060.1151662,2,1.4002342224121094
1764738078.8312511,3,1.3284744024276733
1764738097.3773417,4,1.2918847799301147
1764738115.9799037,5,1.2748183012008667
1764738134.5634634,6,1.2451473474502563
1764738153.1426215,7,1.2263344526290894
1764738171.7962143,8,1.2249799966812134
1764738190.379176,9,1.2086338996887207
1764738208.9666672,10,1.1873793601989746
1764738227.511516,11,1.1570990085601807
1764738246.0237055,12,1.1954569816589355
1764738264.5312922,13,1.157271385192871
1764738283.0557184,14,1.1168230772018433
1764738301.644077,15,1.1269323825836182
1764738320.1871214,16,1.114737629890442
1764738338.733407,17,1.0894831418991089
1764738357.3380942,18,1.0731149911880493
1764738375.9734688,19,1.0517826080322266
1764738394.587897,20,1.0293415784835815
1764738413.08775,21,1.0357621908187866
1764738431.6493287,22,1.039726972579956
1764738450.1782465,23,1.0240496397018433
1764738468.6926773,24,1.0065618753433228
1764738487.2462523,25,0.989009439945221
1764738505.9182112,26,0.9876410961151123
1764738524.5456338,27,0.9306663870811462
1764738543.1678326,28,0.9304150342941284
1764738561.7391357,29,0.9592128992080688
1764738580.261841,30,0.9109457731246948
1764738598.760136,31,0.8966647386550903
1764738617.329822,32,0.9083712697029114
1764738636.0126681,33,0.8993266820907593
1764738654.686723,34,0.8854490518569946
1764738673.3837223,35,0.8792797327041626
1764738692.110521,36,0.8359344005584717
1764738710.7272725,37,0.8400137424468994
1764738729.3164923,38,0.814369261264801
1764738747.8492298,39,0.8327580094337463
1764738766.4458735,40,0.8064767122268677
1764738785.0050774,41,0.813755214214325
1764738803.5566535,42,0.7743100523948669
1764738822.2021842,43,0.7687815427780151
1764738840.8382971,44,0.7449460625648499
1764738859.364697,45,0.7406637668609619
1764738877.8764522,46,0.745026171207428
1764738896.412813,47,0.7222175598144531
1764738914.929767,48,0.7240549325942993
1764738933.4908133,49,0.7021039724349976
1764738952.0008166,50,0.7096987962722778
1764738970.552953,51,0.6909012198448181
1764738989.1537426,52,0.6804388165473938
1764739007.6981018,53,0.6848711371421814
1764739026.2160454,54,0.666895866394043
1764739044.7854302,55,0.6328310370445251
1764739063.354347,56,0.6488745808601379
1764739081.8845673,57,0.6744064688682556
1764739100.4424367,58,0.6253483891487122
1764739118.953521,59,0.6368229389190674
1764739137.4720087,60,0.6196596622467041
1764739155.9850502,61,0.5927945971488953
1764739174.5630188,62,0.5906348824501038
1764739193.1276288,63,0.6126792430877686
1764739211.6339617,64,0.5812733769416809
1764739230.1225007,65,0.5948057174682617
1764739248.7601852,66,0.5930203795433044
1764739267.3132222,67,0.5837292671203613
1764739285.8339882,68,0.5586572289466858
1764739304.4753337,69,0.5748262405395508
1764739323.3055484,70,0.5530861616134644
1764739342.127005,71,0.5496286153793335
1764739360.9695926,72,0.5529362559318542
1764739379.7453868,73,0.5366771817207336
1764739398.3947334,74,0.5364001393318176
1764739417.0933948,75,0.5192941427230835
1764739435.9727068,76,0.5162282586097717
1764739454.7736826,77,0.5129129886627197
1764739473.565438,78,0.5165035128593445
1764739492.318677,79,0.5001288056373596
1764739511.0182872,80,0.4874192774295807
1764739529.7737448,81,0.5011616945266724
1764739548.556442,82,0.5018452405929565
1764739567.3618534,83,0.4964677691459656
1764739586.0524826,84,0.4868133068084717
1764739604.807942,85,0.463693767786026
1764739623.6302705,86,0.447074830532074
1764739642.372719,87,0.4794202446937561
1764739661.1534922,88,0.4710477292537689
1764739679.88917,89,0.4672625660896301
1764739698.6643713,90,0.45467495918273926
1764739717.5135179,91,0.4437219798564911
1764739736.2724588,92,0.473091721534729
1764739755.027387,93,0.45002666115760803
1764739773.7502592,94,0.460706502199173
1764739792.4083912,95,0.4397220015525818
1764739811.2721071,96,0.4581240117549896
1764739830.0071397,97,0.45687225461006165
1764739848.864995,98,0.44649773836135864
1764739867.541347,99,0.44610559940338135
